#natypes
3
#atypes
1	0
2	1
3	2
4	0
5	1
6	2
7	0
8	1
9	2
10	0
11	1
12	2
13	0
14	1
15	2
16	0
17	1
18	2
19	0
20	1
21	2
22	0
23	1
24	2
25	0
26	1
27	2
28	0
29	1
30	2
31	0
32	1
33	2
34	0
35	1
36	2
37	0
38	1
39	2
40	0
41	1
42	2
43	0
44	1
45	2
46	0
47	1
48	2
49	0
50	1
51	2
52	0
53	1
54	2
55	0
56	1
57	2
58	0
59	1
60	2
61	0
62	1
63	2
64	0
65	1
66	2
67	0
68	1
69	2
70	0
71	1
72	2
73	0
74	1
75	2
76	0
77	1
78	2
79	0
80	1
81	2
82	0
83	1
84	2
85	0
86	1
87	2
88	0
89	1
90	2
91	0
92	1
93	2
94	0
95	1
96	2
97	0
98	1
99	2
100	0
101	1
102	2
103	0
104	1
105	2
106	0
107	1
108	2
109	0
110	1
111	2
112	0
113	1
114	2
115	0
116	1
117	2
118	0
119	1
120	2
121	0
122	1
123	2
124	0
125	1
126	2
127	0
128	1
129	2
130	0
131	1
132	2
133	0
134	1
135	2
136	0
137	1
138	2
139	0
140	1
141	2
142	0
143	1
144	2
145	0
146	1
147	2
148	0
149	1
150	2
151	0
152	1
153	2
154	0
155	1
156	2
157	0
158	1
159	2
160	0
161	1
162	2
163	0
164	1
165	2
166	0
167	1
168	2
169	0
170	1
171	2
172	0
173	1
174	2
175	0
176	1
177	2
178	0
179	1
180	2
181	0
182	1
183	2
184	0
185	1
186	2
187	0
188	1
189	2
190	0
191	1
192	2
193	0
194	1
195	2
196	0
197	1
198	2
199	0
200	1
201	2
202	0
203	1
204	2
205	0
206	1
207	2
208	0
209	1
210	2
211	0
212	1
213	2
214	0
215	1
216	2
217	0
218	1
219	2
220	0
221	1
222	2
223	0
224	1
225	2
226	0
227	1
228	2
229	0
230	1
231	2
232	0
233	1
234	2
235	0
236	1
237	2
238	0
239	1
240	2
241	0
242	1
243	2
244	0
245	1
246	2
247	0
248	1
249	2
250	0
251	1
252	2
253	0
254	1
255	2
256	0
257	1
258	2
259	0
260	1
261	2
262	0
263	1
264	2
265	0
266	1
267	2
268	0
269	1
270	2
271	0
272	1
273	2
274	0
275	1
276	2
277	0
278	1
279	2
280	0
281	1
282	2
283	0
284	1
285	2
286	0
287	1
288	2
289	0
290	1
291	2
292	0
293	1
294	2
295	0
296	1
297	2
298	0
299	1
300	2
301	0
302	1
303	2
304	0
305	1
306	2
307	0
308	1
309	2
310	0
311	1
312	2
313	0
314	1
315	2
316	0
317	1
318	2
319	0
320	1
321	2
322	0
323	1
324	2
325	0
326	1
327	2
328	0
329	1
330	2
331	0
332	1
333	2
334	0
335	1
336	2
337	0
338	1
339	2
340	0
341	1
342	2
343	0
344	1
345	2
346	0
347	1
348	2
349	0
350	1
351	2
352	0
353	1
354	2
355	0
356	1
357	2
358	0
359	1
360	2
361	0
362	1
363	2
364	0
365	1
366	2
367	0
368	1
369	2
370	0
371	1
372	2
373	0
374	1
375	2
376	0
377	1
378	2
379	0
380	1
381	2
382	0
383	1
384	2
385	0
386	1
387	2
388	0
389	1
390	2
391	0
392	1
393	2
394	0
395	1
396	2
397	0
398	1
399	2
400	0
401	1
402	2
403	0
404	1
405	2
406	0
407	1
408	2
409	0
410	1
411	2
412	0
413	1
414	2
415	0
416	1
417	2
418	0
